Item,Price
Meja Persegi 80x120 (polos),24.000
Meja Bulat 120 (polos),30.000
Meja Bulat 160 (polos),180.000
Meja IBM 45 x 180,150.000
Meja IBM 90 x 180,180.000
Meja Sofa,300.000
Meja Kaca,300.000
Bunga Barstool,120.000
Tifanny,35.000
Tifanny + Pita,35.000
Futura Polos,10.000
Futura + Cover Ketat,20.000
Futura + Cover Ketat + Pita,20.000
Kursi Dilling,55.000
Crossback,40.000
Betawi Single,275.000
Betawi Doube,385.000
Barstool Kotak/Tapal,75.000
Barstool Senderan,110.000
Kursi Kayu Panjang,165.000
Direktur,385.000
Louise Kayu,110.000
Napoleon Aklirik,71.000
Olive Aklirik,71.000
Tiffany Aklirik,71.000
Ghosht Aklirik,105.000
Arm Char Oval,385.000
Arm Char Kotak,385.000
Kursi Susun (Futura) Polos,12.000
Kursi Susun VIP Strech Putih,21.000
Kursi Susun VIP Strech Hitam,24.000
Kursi Tiffany,60.000
Kursi Plastik Anyam,9.000
Kursi Sofa Hitam,300.000
Kursi Ukir,300.000
Kursi Baso,90.000
Barstrool,120.000
Pita Kursi,6.000
Karpet Buana,65.000
Karpet Rumput,85.000
Flooring Karpet Baru,110.000
Flooring Karpet Bekas,110.000
Podium Informa,495.000
Podium Aklirik,715.000
Kain Hitam Curtain,110.000
Rak Brosur,495.000
Stand Rope Tarik,110.000
Stand Rope Beludru Juntai,165.000
Stand Sign Board A4 (landscape),110.000
Mini Garden (minimum 5m),495.000
Bel Sirine Standing,495.000
MCTRL 660,3.300.000
Perfect Cue,1.300.000
Backdrop Frame LED,610.000
Stage Level 1 Meter,385.000
MCTRL 600,2.200.000
MCTRL 600,1.100.000
VX 600,3.300.000
Rigging 1 Meter,330.000
Takel 1 Ton,385.000
Cable Protection,50.000
